OBJECTID,SHAPE_Leng,SHAPE_Area,MEAN,_count_0,_sum_0,shadow_percent_0,sunlight_percent_0,shadow_free_area_0,energy_0,_count_19,_sum_19,shadow_percent_19,sunlight_percent_19,shadow_free_area_19,energy_19,_count_6,_sum_6,shadow_percent_6,sunlight_percent_6,shadow_free_area_6,energy_6,_count_7,_sum_7,shadow_percent_7,sunlight_percent_7,shadow_free_area_7,energy_7,_count_8,_sum_8,shadow_percent_8,sunlight_percent_8,shadow_free_area_8,energy_8,_count_9,_sum_9,shadow_percent_9,sunlight_percent_9,shadow_free_area_9,energy_9,_count_10,_sum_10,shadow_percent_10,sunlight_percent_10,shadow_free_area_10,energy_10,_count_11,_sum_11,shadow_percent_11,sunlight_percent_11,shadow_free_area_11,energy_11,_count_12,_sum_12,shadow_percent_12,sunlight_percent_12,shadow_free_area_12,energy_12,_count_13,_sum_13,shadow_percent_13,sunlight_percent_13,shadow_free_area_13,energy_13,_count_14,_sum_14,shadow_percent_14,sunlight_percent_14,shadow_free_area_14,energy_14,_count_15,_sum_15,shadow_percent_15,sunlight_percent_15,shadow_free_area_15,energy_15,_count_16,_sum_16,shadow_percent_16,sunlight_percent_16,shadow_free_area_16,energy_16,_count_17,_sum_17,shadow_percent_17,sunlight_percent_17,shadow_free_area_17,energy_17,_count_18,_sum_18,shadow_percent_18,sunlight_percent_18,shadow_free_area_18,energy_18,energy_final,shadow_final,energy_total
918,0.001000831,469.3025582,29.52716896,432,432,92,8,37.54420465,0.958878987,461,461,98,2,9.386051164,0.021869499,107,107,23,77,361.3629698,0.068658964,14.65274215,14.65274215,3,97,455.2234814,10.5211251,14.65274215,14.65274215,3,97,455.2234814,59.70301481,11.22465129,11.22465129,2,98,459.916507,148.590285,10.34802883,10.34802883,2,98,459.916507,223.1169955,8.894410906,8.894410906,2,98,459.916507,276.2621875,8.611931608,8.611931608,2,98,459.916507,304.7369982,11.50773689,11.50773689,2,98,459.916507,308.3100896,11.982487,11.982487,3,97,455.2234814,277.0376302,12.38204544,12.38204544,3,97,455.2234814,208.9462123,79,79,17,83,389.5211233,105.3607896,461,461,98,2,9.386051164,0.927341855,461,461,98,2,9.386051164,0.106334574,128.3112274,329.1375275,1924.668412
481,0.002332441,2826.670511,5.269994216,1848,1848,65,35,989.3346787,25.26760769,2825,2825,100,0,0,0,2070,2070,73,27,763.2010379,0.145008197,741,741,26,74,2091.736178,48.34420654,17.86890917,17.86890917,1,99,2798.403805,367.0134575,16.52736399,16.52736399,1,99,2798.403805,904.1110999,15.65775312,15.65775312,1,99,2798.403805,1357.575646,14.74113958,14.74113958,1,99,2798.403805,1680.942399,14.8899893,14.8899893,1,99,2798.403805,1854.199974,16.0868398,16.0868398,1,99,2798.403805,1875.940773,22.18714497,22.18714497,1,99,2798.403805,1703.038596,16.73356476,16.73356476,1,99,2798.403805,1284.458952,22.89987088,22.89987088,1,99,2798.403805,756.9346485,2825,2825,100,0,0,0,2825,2825,100,0,0,0,790.5314912,1935.327076,11857.97237
482,0.001855906,1297.291021,7.590345383,15.1637502,15.1637502,1,99,1284.318111,32.80148456,1295,1295,100,0,0,0,15.38594375,15.38594375,1,99,1284.318111,0.244020441,14.88769426,14.88769426,1,99,1284.318111,29.68316019,14.31966361,14.31966361,1,99,1284.318111,168.4396046,15.32744043,15.32744043,1,99,1284.318111,414.9387797,14.03472875,14.03472875,1,99,1284.318111,623.0548237,14.25037175,14.25037175,1,99,1284.318111,771.4629187,13.72969953,13.72969953,1,99,1284.318111,850.9789059,13.35972148,13.35972148,1,99,1284.318111,860.9567733,13.91747078,13.91747078,1,99,1284.318111,781.6038945,14.22154443,14.22154443,1,99,1284.318111,589.4981601,13.47043186,13.47043186,1,99,1284.318111,347.3926373,1295,1295,100,0,0,0,1295,1295,100,0,0,0,364.7370109,1027.454489,5471.055163
631,0.000856933,474.9233986,11.04685411,9.855462051,9.855462051,2,98,465.4249306,11.88695273,472,472,99,1,4.749233986,0.011065715,11.64888758,11.64888758,2,98,465.4249306,0.088430737,10.30769978,10.30769978,2,98,465.4249306,10.756901,12,12,3,97,460.6756966,60.41807829,16,16,3,97,460.6756966,148.8355647,15,15,3,97,460.6756966,223.4852973,27,27,6,94,446.4279947,268.1599214,41,41,9,91,432.1802927,286.3592045,46,46,10,90,427.4310587,286.5331119,77,77,16,84,398.9356548,242.7822661,113,113,24,76,360.9417829,165.6711955,282,282,59,41,194.7185934,52.66904289,472,472,99,1,4.749233986,0.469224318,472,472,99,1,4.749233986,0.053804072,117.2120041,336.8789974,1758.180061
632,0.000900594,517.0339003,16.10816881,11.59651109,11.59651109,2,98,506.6932223,12.9409449,171,171,33,67,346.4127132,0.807141622,11.59651109,11.59651109,2,98,506.6932223,0.096271712,11.59615632,11.59615632,2,98,506.6932223,11.71069375,11.11260482,11.11260482,2,98,506.6932223,66.4533228,9.605967003,9.605967003,2,98,506.6932223,163.7029529,7.074623381,7.074623381,1,99,511.8635613,248.3178102,6.942769825,6.942769825,1,99,511.8635613,307.4656921,6.942769825,6.942769825,1,99,511.8635613,339.1567008,10.48455354,10.48455354,2,98,506.6932223,339.6673752,7.734959523,7.734959523,1,99,511.8635613,311.5073668,8.261547345,8.261547345,2,98,506.6932223,232.5706689,10.66628891,10.66628891,2,98,506.6932223,137.0544363,175,175,34,66,341.2423742,33.71474657,175,175,34,66,341.2423742,3.865934857,147.268804,475.326499,2209.032059
633,0.000853421,485.8571819,11.23318936,17,17,3,97,471.2814664,12.03652865,97,97,20,80,388.6857455,0.905637787,34,34,7,93,451.8471791,0.085850964,12,12,2,98,476.1400382,11.00454856,6,6,1,99,480.9986101,63.08344871,3,3,1,99,480.9986101,155.4015119,6.286287751,6.286287751,1,99,480.9986101,233.3444507,5.644106419,5.644106419,1,99,480.9986101,288.9257641,5.644106419,5.644106419,1,99,480.9986101,318.705831,7.726619729,7.726619729,2,98,476.1400382,319.1857122,6.549387593,6.549387593,1,99,480.9986101,292.7237291,7.254090462,7.254090462,1,99,480.9986101,220.776919,8.541347289,8.541347289,2,98,476.1400382,128.7901667,94,94,19,81,393.5443173,38.88217855,94,94,19,81,393.5443173,4.458463571,139.2207161,459.6208941,2088.310741
807,0.000840883,372.5700555,3.003615533,44,44,12,88,327.8616488,8.373586511,375,375,101,-1,-3.725700555,-0.008680882,13,13,3,97,361.3929538,0.068664661,8.269557517,8.269557517,2,98,365.1186544,8.43862234,5.632698106,5.632698106,2,98,365.1186544,47.88567664,5.96851646,5.96851646,2,98,365.1186544,117.9629,5.195883971,5.195883971,1,99,368.8443549,178.9356177,5.531702325,5.531702325,1,99,368.8443549,221.5570583,4.778413893,4.778413893,1,99,368.8443549,244.3933188,4.974616473,4.974616473,1,99,368.8443549,247.2588706,4.785072247,4.785072247,1,99,368.8443549,224.4694533,4.785072247,4.785072247,1,99,368.8443549,169.2984524,87,87,23,77,286.8789427,77.59731146,375,375,101,-1,-3.725700555,-0.368099215,375,375,101,-1,-3.725700555,-0.042208462,103.0547029,284.8919024,1545.820544
808,0.000669956,292.382326,3.84043609,251,251,86,14,40.93352564,1.045442245,297,297,102,-2,-5.84764652,-0.013625016,195,195,67,33,96.48616758,0.018332372,274,274,94,6,17.54293956,0.405452419,35,35,12,88,257.2964469,33.74468631,5,5,2,98,286.5346795,92.57391078,5.20696268,5.20696268,2,98,286.5346795,139.0051364,5.152227842,5.152227842,2,98,286.5346795,172.1153647,4.885728799,4.885728799,2,98,286.5346795,189.8555864,4.914946413,4.914946413,2,98,286.5346795,192.0816743,4.903756444,4.903756444,2,98,286.5346795,174.3778426,6.61805103,6.61805103,2,98,286.5346795,131.5185583,225,225,77,23,67.24793498,18.18975944,297,297,102,-2,-5.84764652,-0.577747476,297,297,102,-2,-5.84764652,-0.066247987,76.28494172,164.5137888,1144.274126
809,0.000752746,296.9065295,5.437499762,294,294,99,1,2.969065295,0.075829928,294,294,99,1,2.969065295,0.006917922,294,294,99,1,2.969065295,0.000564122,10.46976904,10.46976904,4,96,285.0302684,6.587619562,8.22855948,8.22855948,3,97,287.9993337,37.77140061,7.723275569,7.723275569,3,97,287.9993337,93.04711272,8.484610995,8.484610995,3,97,287.9993337,139.7156767,8.389807249,8.389807249,3,97,287.9993337,172.9951517,8.370832315,8.370832315,3,97,287.9993337,190.8260545,10.11679995,10.11679995,3,97,287.9993337,193.0635213,29,29,10,90,267.2158766,162.6209021,140,140,47,53,157.3604607,72.22797936,293,293,99,1,2.969065295,0.803096534,294,294,99,1,2.969065295,0.293343651,294,294,99,1,2.969065295,0.033636541,71.33792048,163.6944666,1070.068807
810,0.000952381,383.9602585,12.90594149,100,100,26,74,284.1305913,7.256695302,356,356,93,7,26.8772181,0.062623918,70,70,18,82,314.847412,0.059821008,10.9199781,10.9199781,3,97,372.4414508,8.60786681,10.9199781,10.9199781,3,97,372.4414508,48.84606871,10.9199781,10.9199781,3,97,372.4414508,120.3287564,10.9199781,10.9199781,3,97,372.4414508,180.6806588,10.66271556,10.66271556,3,97,372.4414508,223.7177582,8.749202974,8.749202974,2,98,376.2810534,249.3208157,9.955119895,9.955119895,3,97,372.4414508,249.6702234,10.9199781,10.9199781,3,97,372.4414508,226.6585559,7,7,2,98,376.2810534,172.7118746,97,97,25,75,287.9701939,77.89248181,355,355,92,8,30.71682068,3.034821883,355,355,92,8,30.71682068,0.347990862,104.6131342,288.9940879,1569.197013
