OBJECTID,SHAPE_Leng,SHAPE_Area,MEAN,_count_0,_sum_0,shadow_percent_0,sunlight_percent_0,shadow_free_area_0,energy_0,_count_19,_sum_19,shadow_percent_19,sunlight_percent_19,shadow_free_area_19,energy_19,_count_6,_sum_6,shadow_percent_6,sunlight_percent_6,Shadow_free_area_6,energy_6,_count_7,_sum_7,shadow_percent_7,sunlight_percent_7,shadow_free_area_7,energy_7,_count_8,_sum_8,shadow_percent_8,sunlight_percent_8,shadow_free_area_8,energy_8,_count_9,_sum_9,shadow_percent_9,sunlight_percent_9,shadow_free_area_9,energy_9,_count_10,_sum_10,shadow_percent_10,sunlight_percent_10,shadow_free_area_10,energy_10,_count_11,_sum_11,shadow_percent_11,sunlight_percent_11,shadow_free_area_11,energy_11,_count_12,_sum_12,shadow_percent_12,sunlight_percent_12,shadow_free_area_12,energy_12,_count_13,_sum_13,shadow_percent_13,sunlight_percent_13,shadow_free_area_13,energy_13,_count_14,_sum_14,shadow_percent_14,sunlight_percent_14,shadow_free_area_14,energy_14,_count_15,_sum_15,shadow_percent_15,sunlight_percent_15,shadow_free_area_15,energy_15,_count_16,_sum_16,shadow_percent_16,sunlight_percent_16,shadow_free_area_16,energy_16,_count_17,_sum_17,shadow_percent_17,sunlight_percent_17,shadow_free_area_17,energy_17,_count_18,_sum_18,shadow_percent_18,sunlight_percent_18,shadow_free_area_18,energy_18,energy_final,shadow_final,energy_total
918,0.001000831,469.3025582,29.52716896,14.65274215,14.65274215,3,97,455.2234814,10.01491659,4,4,1,99,464.6095326,0.789836205,10.83877624,10.83877624,2,98,459.916507,18.14416612,14.65274215,14.65274215,3,97,455.2234814,71.75551171,13.79774775,13.79774775,3,97,455.2234814,151.9950234,13.44330996,13.44330996,3,97,455.2234814,243.0957122,10.83877624,10.83877624,2,98,459.916507,286.6093891,9.932550667,9.932550667,2,98,459.916507,298.9457296,7.37647027,7.37647027,2,98,459.916507,334.0033252,4.396524156,4.396524156,1,99,464.6095326,361.9308259,7.404852393,7.404852393,2,98,459.916507,341.4558123,8.978288837,8.978288837,2,98,459.916507,307.283096,12.55577729,12.55577729,3,97,455.2234814,235.6965097,14.02565939,14.02565939,3,97,455.2234814,150.0544057,14.65274215,14.65274215,3,97,455.2234814,66.61330726,191.8925045,458.2404264,2878.387567
481,0.002332441,2826.670511,5.269994216,2825,2825,100,0,0,0,2282,2282,81,19,537.067397,0.913014575,16.78358461,16.78358461,1,99,2798.403806,110.3998285,147,147,5,95,2685.336985,423.2816129,21.29276334,21.29276334,1,99,2798.403805,934.361845,19.20508901,19.20508901,1,99,2798.403805,1494.38681,16.78358461,16.78358461,1,99,2798.403805,1743.900888,15.02201715,15.02201715,1,99,2798.403805,1818.962474,0,0,0,100,2826.670511,2052.801618,0,0,0,100,2826.670511,2201.976328,14.64409849,14.64409849,1,99,2798.403805,2077.618937,16.16214416,16.16214416,1,99,2798.403805,1869.691938,16.74700889,16.74700889,1,99,2798.403805,1448.901554,16.75451227,16.75451227,1,99,2798.403805,922.4322496,16.95530033,16.95530033,1,99,2798.403805,409.4932273,1167.274822,2432.955689,17509.12232
482,0.001855906,1297.291021,7.590345383,958,958,74,26,337.2956656,7.420504642,617,617,48,52,674.5913311,1.146805263,15.16016872,15.16016872,1,99,1284.318111,50.66763379,617,617,48,52,674.5913311,106.3338078,12,12,1,99,1284.318111,428.8222585,15.8137344,15.8137344,1,99,1284.318111,685.8438518,15.16016872,15.16016872,1,99,1284.318111,800.3575076,13.79781872,13.79781872,1,99,1284.318111,834.8067723,12.96171278,12.96171278,1,99,1284.318111,932.7052046,0,0,0,100,1297.291021,1010.589706,9.933486887,9.933486887,1,99,1284.318111,953.5162953,10.5332107,10.5332107,1,99,1284.318111,858.088891,11.298523,11.298523,1,99,1284.318111,664.9685452,11.36797067,11.36797067,1,99,1284.318111,423.3472103,12.31578575,12.31578575,1,99,1284.318111,187.9355535,529.7700365,1130.496461,7946.550548
631,0.000856933,474.9233986,11.04685411,4,4,1,99,470.1741646,10.34383162,431,431,91,9,42.74310587,0.07266328,6.034127077,6.034127077,1,99,470.1741646,18.54884097,7.342098135,7.342098135,2,98,465.4249306,73.36353553,7.489595579,7.489595579,2,98,465.4249306,155.4011955,6.034127077,6.034127077,1,99,470.1741646,251.0795863,6.034127077,6.034127077,1,99,470.1741646,293.0017254,6.068976574,6.068976574,1,99,470.1741646,305.613207,5.48825906,5.48825906,1,99,470.1741646,341.4527028,0,0,0,100,474.9233986,369.9653275,7.245870103,7.245870103,2,98,465.4249306,345.5454312,8.748924395,8.748924395,2,98,465.4249306,310.963428,11.21020408,11.21020408,2,98,465.4249306,240.9784121,12.31721771,12.31721771,3,97,460.6756966,151.8516085,60,60,13,87,413.1833568,60.46153378,195.2428686,433.5372167,2928.643029
632,0.000900594,517.0339003,16.10816881,178,178,34,66,341.2423742,7.507332232,517,517,100,0,0,0,7.41005253,7.41005253,1,99,511.8635613,20.19352936,11.6479022,11.6479022,2,98,506.6932223,79.86853255,10.90248367,10.90248367,2,98,506.6932223,169.1803067,7.41005253,7.41005253,1,99,511.8635613,273.3423078,7.41005253,7.41005253,1,99,511.8635613,318.9815985,5.915380206,5.915380206,1,99,511.8635613,332.7113148,4.933766918,4.933766918,1,99,511.8635613,371.7286267,5.197817617,5.197817617,1,99,511.8635613,398.7417142,5.710636082,5.710636082,1,99,511.8635613,380.0228638,5.710636082,5.710636082,1,99,511.8635613,341.9903775,9.126846488,9.126846488,2,98,506.6932223,262.3454828,10.66480893,10.66480893,2,98,506.6932223,167.0202735,10.66628891,10.66628891,2,98,506.6932223,74.14492591,213.1852791,461.2681011,3197.779186
633,0.000853421,485.8571819,11.23318936,490,490,101,-1,-4.858571819,-0.10688858,490,490,101,-1,-4.858571819,-0.008259572,12,12,2,98,476.1400383,18.78420065,171,171,35,65,315.8071682,49.77973651,78,78,16,84,408.1200328,136.2676059,35,35,7,93,451.8471791,241.2927195,12,12,2,98,476.1400382,296.7195206,8,8,2,98,476.1400382,309.4910249,4.434951895,4.434951895,1,99,480.9986101,349.3136966,0,0,0,100,485.8571819,378.4827447,3.903798739,3.903798739,1,99,480.9986101,357.1077981,3.903798739,3.903798739,1,99,480.9986101,321.3686393,4.429765791,4.429765791,1,99,480.9986101,249.0418403,6.829964647,6.829964647,1,99,480.9986101,158.5506098,2,2,0,100,485.8571819,71.09596728,195.8120637,392.5031948,2937.180956
807,0.000840883,372.5700555,3.003615533,6.540150969,6.540150969,2,98,365.1186544,8.032610396,4.801493928,4.801493928,1,99,368.8443549,0.627035403,4.05018816,4.05018816,1,99,368.8443549,14.55127865,6.540150969,6.540150969,2,98,365.1186544,57.55255813,6.540150969,6.540150969,2,98,365.1186544,121.9098326,7.59132077,7.59132077,2,98,365.1186544,194.9784731,4.05018816,4.05018816,1,99,368.8443549,229.8553186,2.999018359,2.999018359,1,99,368.8443549,239.7488307,0,0,0,100,372.5700555,270.5700611,0,0,0,100,372.5700555,290.2320732,0,0,0,100,372.5700555,276.6071863,1.733791117,1.733791117,0,100,372.5700555,248.924486,4.801493928,4.801493928,1,99,368.8443549,190.9728532,4.801493928,4.801493928,1,99,368.8443549,121.581427,5.46541915,5.46541915,1,99,368.8443549,53.9733633,154.6744925,368.8443549,2320.117388
808,0.000669956,292.382326,3.84043609,3.776591791,3.776591791,1,99,289.4585028,6.368087061,235,235,80,20,58.4764652,0.099409991,3.359971742,3.359971742,1,99,289.4585027,11.41942739,3.0347077,3.0347077,1,99,289.4585028,45.62647541,3.0347077,3.0347077,1,99,289.4585028,96.64758894,3.936774954,3.936774954,1,99,289.4585028,154.5748929,3.359971742,3.359971742,1,99,289.4585028,180.3838814,2.457904488,2.457904488,1,99,289.4585028,188.1480268,0,0,0,100,292.382326,212.3356471,0,0,0,100,292.382326,227.765832,2.035426415,2.035426415,1,99,289.4585028,214.9026762,2.035426415,2.035426415,1,99,289.4585028,193.3953305,2.155129385,2.155129385,1,99,289.4585028,149.8700344,3.552756974,3.552756974,1,99,289.4585028,95.41362734,3.915401836,3.915401836,1,99,289.4585028,42.35675217,121.2871793,273.3774749,1819.30769
809,0.000752746,296.9065295,5.437499762,10.46976904,10.46976904,4,96,285.0302684,6.270665904,294,294,99,1,2.969065295,0.005047411,6.100770561,6.100770561,2,98,290.9683989,11.47899431,9.546834115,9.546834115,3,97,287.9993337,45.39647097,9.292166339,9.292166339,3,97,287.9993337,96.16038551,6.777394555,6.777394555,2,98,290.968399,155.3811986,6.100770561,6.100770561,2,98,290.968399,181.324814,5.221329915,5.221329915,2,98,290.968399,189.1294593,0,0,0,100,296.9065295,215.6212413,0,0,0,100,296.9065295,231.2901865,3.067986229,3.067986229,1,99,293.9374642,218.2279916,8.289072802,8.289072802,3,97,287.9993337,192.4204188,8.948656766,8.948656766,3,97,287.9993337,149.114535,38,38,13,87,258.3086807,85.1457738,127,127,43,57,169.2367218,24.76457874,120.1154508,259.1569851,1801.731762
810,0.000952381,383.9602585,12.90594149,10.56199869,10.56199869,3,97,372.4414508,8.193711917,387,387,101,-1,-3.839602585,-0.006527324,9.474065165,9.474065165,2,98,376.2810533,14.84466383,9.87537158,9.87537158,3,97,372.4414508,58.70682856,9.860368778,9.860368778,3,97,372.4414508,124.3548484,10.72869574,10.72869574,3,97,372.4414508,198.8889489,9.474065165,9.474065165,2,98,376.2810534,234.489698,8.234792912,8.234792912,2,98,376.2810534,244.5826847,5.27306066,5.27306066,1,99,380.1206559,276.0535035,0,0,0,100,383.9602585,299.1050414,6.6308026,6.6308026,2,98,376.2810534,279.3623424,7.084104661,7.084104661,2,98,376.2810534,251.4039076,10.61855464,10.61855464,3,97,372.4414508,192.8352856,10.9199781,10.9199781,3,97,372.4414508,122.7671305,10.9199781,10.9199781,3,97,372.4414508,54.49972993,157.3387865,348.0325486,2360.081798
