OBJECTID,SHAPE_Leng,SHAPE_Area,MEAN,_count_0,_sum_0,shadow_percent_0,sunlight_percent_0,shadow_free_area_0,energy_0,_count_19,_sum_19,shadow_percent_19,sunlight_percent_19,shadow_free_area_19,energy_19,_count_6,_sum_6,shadow_percent_6,sunlight_percent_6,shadow_free_area_6,energy_6,_count_7,_sum_7,shadow_percent_7,sunlight_percent_7,shadow_free_area_7,energy_7,_count_8,_sum_8,shadow_percent_8,sunlight_percent_8,shadow_free_area_8,energy_8,_count_9,_sum_9,shadow_percent_9,sunlight_percent_9,shadow_free_area_9,energy_9,_count_10,_sum_10,shadow_percent_10,sunlight_percent_10,shadow_free_area_10,energy_10,_count_11,_sum_11,shadow_percent_11,sunlight_percent_11,shadow_free_area_11,energy_11,_count_12,_sum_12,shadow_percent_12,sunlight_percent_12,shadow_free_area_12,energy_12,_count_13,_sum_13,shadow_percent_13,sunlight_percent_13,shadow_free_area_13,energy_13,_count_14,_sum_14,shadow_percent_14,sunlight_percent_14,shadow_free_area_14,energy_14,_count_15,_sum_15,shadow_percent_15,sunlight_percent_15,shadow_free_area_15,energy_15,_count_16,_sum_16,shadow_percent_16,sunlight_percent_16,shadow_free_area_16,energy_16,_count_17,_sum_17,shadow_percent_17,sunlight_percent_17,shadow_free_area_17,energy_17,_count_18,_sum_18,shadow_percent_18,sunlight_percent_18,shadow_free_area_18,energy_18,energy_final,shadow_final,energy_total
918,0.001000831,469.3025582,29.52716896,12.11398915,12.11398915,3,97,455.2234814,3.124653977,180,180,38,62,290.9675861,0.231028263,14.65274215,14.65274215,3,97,455.2234814,1.729394006,12.11398915,12.11398915,3,97,455.2234814,33.76392562,12.11398915,12.11398915,3,97,455.2234814,139.8086908,11.95142333,11.95142333,3,97,455.2234814,220.5248216,11.95142333,11.95142333,3,97,455.2234814,317.1846995,11.45763545,11.45763545,2,98,459.916507,381.410139,10.34802883,10.34802883,2,98,459.916507,403.0878437,8.048799488,8.048799488,2,98,459.916507,412.7741452,8.679785697,8.679785697,2,98,459.916507,394.7113843,12.67388635,12.67388635,3,97,455.2234814,326.3356019,14.65274215,14.65274215,3,97,455.2234814,233.1663776,14.65274215,14.65274215,3,97,455.2234814,125.4541288,84,84,18,82,384.8280977,31.31307748,201.6413274,440.8315363,3226.261239
481,0.002332441,2826.670511,5.269994216,2825,2825,100,0,0,0,2825,2825,100,0,0,0,2825,2825,100,0,0,0,2808,2808,99,1,28.26670511,2.096541518,5,5,0,100,2826.670511,868.1298739,18.66468945,18.66468945,1,99,2798.403805,1355.636352,16.31411645,16.31411645,1,99,2798.403805,1949.835424,16.75707991,16.75707991,1,99,2798.403805,2320.724671,15.05523732,15.05523732,1,99,2798.403805,2452.624636,14.35048946,14.35048946,1,99,2798.403805,2511.561819,17.16979081,17.16979081,1,99,2798.403805,2401.657308,16.39680917,16.39680917,1,99,2798.403805,2006.088937,16.49833086,16.49833086,1,99,2798.403805,1433.348026,16.49833086,16.49833086,1,99,2798.403805,771.2065079,18.46474428,18.46474428,1,99,2798.403805,227.7033192,1220.040894,2055.931684,19520.65431
482,0.001855906,1297.291021,7.590345383,6,6,0,100,1297.291021,8.904605571,1295,1295,100,0,0,0,50,50,4,96,1245.399381,4.731272247,16.49746903,16.49746903,1,99,1284.318111,95.25787431,15.8137344,15.8137344,1,99,1284.318111,394.4410626,15.38594375,15.38594375,1,99,1284.318111,622.1647912,14.23095403,14.23095403,1,99,1284.318111,894.8704774,13.40789377,13.40789377,1,99,1284.318111,1065.088863,11.5785158,11.5785158,1,99,1284.318111,1125.623912,11.24565857,11.24565857,1,99,1284.318111,1152.672936,13.64348245,13.64348245,1,99,1284.318111,1102.232627,13.27205008,13.27205008,1,99,1284.318111,920.6878399,12.40742774,12.40742774,1,99,1284.318111,657.8303052,11.93744255,11.93744255,1,99,1284.318111,353.9426596,12.47152439,12.47152439,1,99,1284.318111,104.5036804,566.8635271,1196.967182,9069.816434
631,0.000856933,474.9233986,11.04685411,12.78689217,12.78689217,3,97,460.6756966,3.162077982,472,472,99,1,4.749233986,0.003770892,173,173,36,64,303.9509751,1.154709754,12.78689217,12.78689217,3,97,460.6756966,34.16831642,9.137798309,9.137798309,2,98,465.4249306,142.9417701,6.596489616,6.596489616,1,99,470.1741646,227.7674109,6.439769506,6.439769506,1,99,470.1741646,327.6018421,6.648613104,6.648613104,1,99,470.1741646,389.9168452,7.434987465,7.434987465,2,98,465.4249306,407.9156299,8.101449533,8.101449533,2,98,465.4249306,417.7179444,9.559545576,9.559545576,2,98,465.4249306,399.4388456,7,7,1,99,470.1741646,337.0532832,20,20,4,96,455.9264626,233.526446,34,34,7,93,441.6787607,121.7213663,386,386,81,19,90.23544573,7.342367983,203.4288418,397.3525768,3254.861469
632,0.000900594,517.0339003,16.10816881,11.6479022,11.6479022,2,98,506.6932223,3.477942278,517,517,100,0,0,0,11.6479022,11.6479022,2,98,506.6932223,1.924927551,11.6479022,11.6479022,2,98,506.6932223,37.5814363,11.6479022,11.6479022,2,98,506.6932223,155.6161291,9.365972099,9.365972099,2,98,506.6932223,245.4584111,7.822724052,7.822724052,2,98,506.6932223,353.0471164,7.389085738,7.389085738,1,99,511.8635613,424.489987,7.074623381,7.074623381,1,99,511.8635613,448.6161641,6.942769825,6.942769825,1,99,511.8635613,459.3965225,7.734959523,7.734959523,1,99,511.8635613,439.293593,7.31732561,7.31732561,1,99,511.8635613,366.9391193,9.607577682,9.607577682,2,98,506.6932223,259.5292818,10.66628891,10.66628891,2,98,506.6932223,139.6385717,10.66628891,10.66628891,2,98,506.6932223,41.2291208,225.0825549,474.6371205,3601.320878
633,0.000853421,485.8571819,11.23318936,87,87,18,82,398.4028891,2.734637431,465,465,96,4,19.43428728,0.015430824,106,106,22,78,378.9686019,1.439701718,87,87,18,82,398.4028891,29.54954229,66,66,14,86,417.8371764,128.3265715,24,24,5,95,461.5643228,223.596528,12,12,2,98,476.1400382,331.758666,5,5,1,99,480.9986101,398.8935903,6.283417119,6.283417119,1,99,480.9986101,421.5649788,5.443279601,5.443279601,1,99,480.9986101,431.6952905,4.741268562,4.741268562,1,99,480.9986101,412.8045511,5.492360818,5.492360818,1,99,480.9986101,344.8129926,5.980843057,5.980843057,1,99,480.9986101,246.3684501,8.492637823,8.492637823,2,98,476.1400382,131.2184809,8.541347289,8.541347289,2,98,476.1400382,38.74303877,209.5681634,425.9347961,3353.090614
807,0.000840883,372.5700555,3.003615533,5.372190989,5.372190989,1,99,368.8443549,2.531747652,375,375,101,-1,-3.725700555,-0.002958206,8.913323599,8.913323599,2,98,365.1186544,1.387085768,5.372190989,5.372190989,1,99,368.8443549,27.3571858,5.372190989,5.372190989,1,99,368.8443549,113.2798471,5.427835883,5.427835883,1,99,368.8443549,178.6800085,5.428894665,5.428894665,1,99,368.8443549,256.9985746,5.201783577,5.201783577,1,99,368.8443549,305.8837301,4.201873359,4.201873359,1,99,368.8443549,323.2688399,4.201873359,4.201873359,1,99,368.8443549,331.0370708,4.785072247,4.785072247,1,99,368.8443549,316.5510777,4.785072247,4.785072247,1,99,368.8443549,264.4130839,4.972343507,4.972343507,1,99,368.8443549,188.9228163,5.89924874,5.89924874,2,98,365.1186544,100.6223197,222,222,60,40,149.0280222,12.12626114,161.5371127,328.855169,2584.593803
808,0.000669956,292.382326,3.84043609,4.054792456,4.054792456,1,99,289.4585028,1.986843163,297,297,102,-2,-5.84764652,-0.004643031,4.631595669,4.631595669,2,98,286.5346795,1.088545247,4.631595669,4.631595669,2,98,286.5346795,21.25227718,6,6,2,98,286.5346795,88.0008173,4.054792456,4.054792456,1,99,289.4585028,140.2229614,4.054792456,4.054792456,1,99,289.4585028,201.6851326,3.665018348,3.665018348,1,99,289.4585028,240.0488047,3.725988438,3.725988438,1,99,289.4585028,253.6921418,3.725988438,3.725988438,1,99,289.4585028,259.7884273,4.903756444,4.903756444,2,98,286.5346795,245.9109388,4.903756444,4.903756444,2,98,286.5346795,205.4078292,4.787046662,4.787046662,2,98,286.5346795,146.7636359,6.61805103,6.61805103,2,98,286.5346795,78.96551925,46,46,16,84,245.6011538,19.98432029,126.9862367,265.483152,2031.779788
809,0.000752746,296.9065295,5.437499762,61,61,21,79,234.5561583,1.609993471,294,294,99,1,2.969065295,0.002357438,8.754686629,8.754686629,3,97,287.9993337,1.094109469,82,82,28,72,213.7727013,15.85552125,8.429840103,8.429840103,3,97,287.9993337,88.45064335,6.285801406,6.285801406,2,98,290.968399,140.9544034,6.313663072,6.313663072,2,98,290.968399,202.7371784,6.131332579,6.131332579,2,98,290.968399,241.3009662,6.204556328,6.204556328,2,98,290.968399,255.0154707,3.620440974,3.620440974,1,99,293.9374642,263.8082863,3.268432562,3.268432562,1,99,293.9374642,252.2641863,8.063257953,8.063257953,3,97,287.9993337,206.4577944,16,16,5,95,282.0612031,144.4723123,83,83,28,72,213.7727013,58.9131912,294,294,99,1,2.969065295,0.241589874,124.8785336,237.7231613,1998.056538
810,0.000952381,383.9602585,12.90594149,4,4,1,99,380.1206559,2.609148182,387,387,101,-1,-3.839602585,-0.003048644,9.408000302,9.408000302,2,98,376.2810534,1.429491722,10.9199781,10.9199781,3,97,372.4414508,27.6239824,10.9199781,10.9199781,3,97,372.4414508,114.3845908,10.9199781,10.9199781,3,97,372.4414508,180.4225569,10.9199781,10.9199781,3,97,372.4414508,259.5049123,10.70553631,10.70553631,3,97,372.4414508,308.8668124,9.758091178,9.758091178,3,97,372.4414508,326.4214678,8.749202974,8.749202974,2,98,376.2810534,337.7114928,8.711566325,8.711566325,2,98,376.2810534,322.9334307,9.936632467,9.936632467,3,97,372.4414508,266.9917304,10.83484192,10.83484192,3,97,372.4414508,190.765256,10.9199781,10.9199781,3,97,372.4414508,102.6403945,61,61,16,84,322.5266172,26.24366831,164.5697258,345.3082592,2633.115612
