OBJECTID,SHAPE_Leng,SHAPE_Area,MEAN,_count_0,_sum_0,shadow_percent_0,sunlight_percent_0,shadow_free_area_0,energy_0,_count_19,_sum_19,shadow_percent_19,sunlight_percent_19,shadow_free_area_19,energy_19,_count_6,_sum_6,shadow_percent_6,sunlight_percent_6,shadow_free_area_6,energy_6,_count_7,_sum_7,shadow_percent_7,sunlight_percent_7,shadow_free_area_7,energy_7,_count_8,_sum_8,shadow_percent_8,sunlight_percent_8,shadow_free_area_8,energy_8,_count_9,_sum_9,shadow_percent_9,sunlight_percent_9,shadow_free_area_9,energy_9,_count_10,_sum_10,shadow_percent_10,sunlight_percent_0,shadow_free_area_10,energy_10,_count_11,_sum_11,shadow_percent_11,sunlight_percent_11,shadow_free_area_11,energy_11,_count_12,_sum_12,shadow_percent_12,sunlight_percent_12,shadow_free_area_12,energy_12,_count_13,_sum_13,shadow_percent_13,sunlight_percent_13,shadow_free_area_13,energy_13,_count_14,_sum_14,shadow_percent_14,sunlight_percent_14,shadow_free_area_14,energy_14,_count_15,_sum_15,shadow_percent_15,sunlight_percent_15,shadow_free_area_15,energy_15,_count_16,_sum_16,shadow_percent_16,sunlight_percent_16,shadow_free_area_16,energy_16,_count_17,_sum_17,shadow_percent_17,sunlight_percent_17,shadow_free_area_17,energy_17,_count_18,_sum_18,shadow_percent_18,sunlight_percent_18,shadow_free_area_18,energy_18,energy_final,shadow_final,energy_total
918,0.001000831,469.3025582,29.52716896,12.11398915,12.11398915,3,97,455.2234814,9.275633658,175,175,37,63,295.6606117,0.886981835,14.65274215,14.65274215,3,97,455.2234814,4.711563033,13.69827001,13.69827001,3,97,455.2234814,34.67346213,12.11398915,12.11398915,3,97,455.2234814,109.1671431,11.95142333,11.95142333,3,97,455.2234814,201.6640023,11.95142333,11.95142333,3,97,455.2234814,261.8049421,11.21816904,11.21816904,2,98,459.916507,302.3302551,8.506249658,8.506249658,2,98,459.916507,320.0398002,7.748668389,7.748668389,2,98,459.916507,315.7851125,8.679785697,8.679785697,2,98,459.916507,288.91771,13.26154793,13.26154793,3,97,455.2234814,232.2714083,14.65274215,14.65274215,3,97,455.2234814,167.7427514,14.65274215,14.65274215,3,97,455.2234814,84.85911962,155,155,33,67,314.432714,13.87874556,156.5339087,436.4513791,2348.008631
481,0.002332441,2826.670511,5.269994216,2825,2825,100,0,0,0,2825,2825,100,0,0,0,2825,2825,100,0,0,0,1966,1966,70,30,848.0011532,64.59055183,20.44197737,20.44197737,1,99,2798.403805,671.0852166,18.26823503,18.26823503,1,99,2798.403805,1239.692886,15.37667624,15.37667624,1,99,2798.403805,1609.398408,14.6844893,14.6844893,1,99,2798.403805,1839.555927,15.05523732,15.05523732,1,99,2798.403805,1947.311264,14.60636574,14.60636574,1,99,2798.403805,1921.42323,10.08365695,10.08365695,0,100,2826.670511,1775.703108,16.49082749,16.49082749,1,99,2798.403805,1427.846364,16.49833086,16.49833086,1,99,2798.403805,1031.168147,16.49833086,16.49833086,1,99,2798.403805,521.6560502,20.72288987,20.72288987,1,99,2798.403805,123.5187456,944.8633265,2110.580648,14172.9499
482,0.001855906,1297.291021,7.590345383,6,6,0,100,1297.291021,26.43360185,1295,1295,100,0,0,0,38,38,3,97,1258.372291,13.02415321,15.89202564,15.89202564,1,99,1284.318111,97.82394189,15.8137344,15.8137344,1,99,1284.318111,307.9923262,15.1637502,15.1637502,1,99,1284.318111,568.9529232,14.22453547,14.22453547,1,99,1284.318111,738.6280419,8.503080467,8.503080467,1,99,1284.318111,844.2580692,11.5785158,11.5785158,1,99,1284.318111,893.7120224,11.17591211,11.17591211,1,99,1284.318111,881.8307956,9.981230865,9.981230865,1,99,1284.318111,806.8035002,12.55533993,12.55533993,1,99,1284.318111,655.3053358,12.44600659,12.44600659,1,99,1284.318111,473.2511886,12.09682825,12.09682825,1,99,1284.318111,239.4123077,20.4907269,20.4907269,2,98,1271.345201,56.11590582,440.2362742,1196.967182,6603.544114
631,0.000856933,474.9233986,11.04685411,12.78689217,12.78689217,3,97,460.6756966,9.386727994,472,472,99,1,4.749233986,0.014247702,111,111,23,77,365.6910169,3.784902025,9.072050889,9.072050889,2,98,465.4249306,35.45048611,9.269804077,9.269804077,2,98,465.4249306,111.6135526,6.512404523,6.512404523,1,99,470.1741646,208.2871549,6.439769506,6.439769506,1,99,470.1741646,270.4032743,6.880632947,6.880632947,1,99,470.1741646,309.0732187,7.434987465,7.434987465,2,98,465.4249306,323.8729193,11.48017487,11.48017487,2,98,465.4249306,319.5672733,10.20411696,10.20411696,2,98,465.4249306,292.3780797,12,12,3,97,460.6756966,235.0533247,23,23,5,95,451.1772286,166.2517704,60,60,13,87,413.1833568,77.0223359,453,453,95,5,23.74616993,1.048132194,157.54716,394.5030364,2363.2074
632,0.000900594,517.0339003,16.10816881,11.6479022,11.6479022,2,98,506.6932223,10.3243811,517,517,100,0,0,0,11.6479022,11.6479022,2,98,506.6932223,5.244274851,11.6479022,11.6479022,2,98,506.6932223,38.59380935,11.32870677,11.32870677,2,98,506.6932223,121.5101016,9.536277198,9.536277198,2,98,506.6932223,224.4650975,7.791815216,7.791815216,2,98,506.6932223,291.4058591,7.223395352,7.223395352,1,99,511.8635613,336.4781188,7.074623381,7.074623381,1,99,511.8635613,356.1879371,9.740074219,9.740074219,2,98,506.6932223,347.9026601,7.646611033,7.646611033,1,99,511.8635613,321.5506417,7.734959523,7.734959523,1,99,511.8635613,261.1712161,9.629463589,9.629463589,2,98,506.6932223,186.708548,10.66628891,10.66628891,2,98,506.6932223,94.45369695,19,19,4,96,496.3525443,21.90850495,174.5269898,473.6030527,2617.904847
633,0.000853421,485.8571819,11.23318936,87,87,18,82,398.4028891,8.117857269,475,475,98,2,9.717143638,0.029151431,100,100,21,79,383.8271737,3.972611248,83,83,17,83,403.261461,30.71561896,51,51,10,90,437.2714637,104.8620697,19,19,4,96,466.4228946,206.6253423,10,10,2,98,476.1400382,273.8343258,3,3,1,99,480.9986101,316.1887653,6.283417119,6.283417119,1,99,480.9986101,334.7100978,7.205439762,7.205439762,1,99,480.9986101,330.2603796,5.03608267,5.03608267,1,99,480.9986101,302.1614028,5.639411415,5.639411415,1,99,480.9986101,245.4228068,5.980843057,5.980843057,1,99,480.9986101,177.2404842,8.492637823,8.492637823,2,98,476.1400382,88.75821681,8.541347289,8.541347289,2,98,476.1400382,21.01634515,162.9276983,427.5543201,2443.915475
807,0.000840883,372.5700555,3.003615533,5.372190989,5.372190989,1,99,368.8443549,7.515572576,375,375,101,-1,-3.725700555,-0.011177102,8.913323599,8.913323599,2,98,365.1186544,3.778978073,5.372190989,5.372190989,1,99,368.8443549,28.09413683,5.372190989,5.372190989,1,99,368.8443549,88.45256475,5.428894665,5.428894665,1,99,368.8443549,163.3980492,5.428894665,5.428894665,1,99,368.8443549,212.1271835,5.201783577,5.201783577,1,99,368.8443549,242.4631563,4.201873359,4.201873359,1,99,368.8443549,256.665877,4.201873359,4.201873359,1,99,368.8443549,253.2536979,4.785072247,4.785072247,1,99,368.8443549,231.7065484,4.972343507,4.972343507,1,99,368.8443549,188.1976683,4.972343507,4.972343507,1,99,368.8443549,135.9133908,7.953670286,7.953670286,2,98,365.1186544,68.0624986,362,362,97,3,11.17710166,0.49334609,125.3407661,319.6651076,1880.111491
808,0.000669956,292.382326,3.84043609,4.054792456,4.054792456,1,99,289.4585028,5.898006452,297,297,102,-2,-5.84764652,-0.01754294,4.631595669,4.631595669,2,98,286.5346795,2.965633933,4.631595669,4.631595669,2,98,286.5346795,21.82477347,4,4,1,99,289.4585028,69.41504354,4.054792456,4.054792456,1,99,289.4585028,128.2301167,4.054792456,4.054792456,1,99,289.4585028,166.4713479,3.665018348,3.665018348,1,99,289.4585028,190.2781519,3.725988438,3.725988438,1,99,289.4585028,201.424041,3.725988438,3.725988438,1,99,289.4585028,198.7462604,4.903756444,4.903756444,2,98,286.5346795,179.9999395,4.787046662,4.787046662,2,98,286.5346795,146.2003087,6.031851026,6.031851026,2,98,286.5346795,105.5835595,6.648731233,6.648731233,2,98,286.5346795,53.41350267,214,214,73,27,78.94322802,3.484475142,98.26117452,254.5675452,1473.917618
809,0.000752746,296.9065295,5.437499762,47,47,16,84,249.4014848,5.081804655,294,294,99,1,2.969065295,0.008907196,8,8,3,97,287.9993337,2.980793103,10.46976904,10.46976904,4,96,285.0302684,21.71018548,8.413211529,8.413211529,3,97,287.9993337,69.0651202,6.382993179,6.382993179,2,98,290.968399,128.8990007,6.313663072,6.313663072,2,98,290.968399,167.3397088,6.131332579,6.131332579,2,98,290.968399,191.2706958,6.204556328,6.204556328,2,98,290.968399,202.4747249,4.220868495,4.220868495,1,99,293.9374642,201.8215781,3.819885957,3.819885957,1,99,293.9374642,184.6503393,8.973042981,8.973042981,3,97,287.9993337,146.947628,33,33,11,89,264.2468113,97.37082771,115,115,39,61,181.112983,33.76163339,286,286,96,4,11.87626118,0.524206292,96.92714358,240.6922266,1453.907154
810,0.000952381,383.9602585,12.90594149,4,4,1,99,380.1206559,7.745338485,387,387,101,-1,-3.839602585,-0.011518808,10.9199781,10.9199781,3,97,372.4414508,3.854769015,10.9199781,10.9199781,3,97,372.4414508,28.36812042,10.9199781,10.9199781,3,97,372.4414508,89.31518431,10.9199781,10.9199781,3,97,372.4414508,164.9915627,10.9199781,10.9199781,3,97,372.4414508,214.1959201,10.35858467,10.35858467,3,97,372.4414508,244.8277396,9.758091178,9.758091178,3,97,372.4414508,259.1689701,8.609586796,8.609586796,2,98,376.2810534,258.3598392,8.917729874,8.917729874,2,98,376.2810534,236.3782526,10.60967936,10.60967936,3,97,372.4414508,190.0330361,10.91930652,10.91930652,3,97,372.4414508,137.2388645,10.9199781,10.9199781,3,97,372.4414508,69.42755572,151,151,39,61,234.2157577,10.33804933,127.6154456,339.1648951,1914.231683
